SgnMonth,Sentiment Score Index
Month,PI
2022-01,0.4061
2022-02,0.5149
2022-03,0.4795
2022-04,0.399
2022-05,0.4
2022-06,0.411
2022-07,0.416
2022-08,0.4762
2022-09,0.4173
2022-10,0.3212
2022-11,0.3865
2022-12,0.3298
2023-01,0.3647
2023-02,0.4168
2023-03,0.4784
2023-04,0.5363
2023-05,0.5496
2023-06,0.5404
2023-07,0.4845
2023-08,0.4326
2023-09,0.523
2023-10,0.4346
2023-11,0.4442
2023-12,0.4113
2024-01,0.5366
2024-02,0.5199
2024-03,0.5256
2024-04,0.471
2024-05,0.5423
2024-06,0.5031
